Станция,Широта,Долгота,Код
янега,60.7497548,33.7136484,49207
кушелевка,59.9904636,30.3547672,37405
шуйская,61.9411138,34.2503457,10407
санкт-петербург-финляндский,59.9581823,30.3581566,38205
серебрянка,58.5841764,29.6126442,71805
батецкая,58.6479982,30.3150392,58302
левашово,60.1043173,30.2186217,38807
суна,62.1082938,34.2452582,10500
подпорожье,60.9020017,34.0685875,49303
царское село,59.7230377,30.429679,32707
плюсса,58.423257,29.3630437,71608
остров,57.3544374,28.3168595,70200
разъезд 451 км,56.1354898,30.0054069,67208
онежский,61.7390813,34.4458299,49905
оять-волховстроевский,60.4554848,33.1415592,49002
свирь,60.9514526,34.0836929,49407
токари,61.1011619,34.3942238,49500
орехово,60.4644369,30.2611406,37804
орехово,55.6131701,37.694898,37804
советский,60.5285769,28.6901263,20502
пихтовая,60.5830562,28.6843843,895506
пихтовая,58.0869215,47.5924631,895506
прибылово,60.4527885,28.7151711,20409
мурманск,68.9719752,33.069237,18409
кола,68.8889285,33.0512006,17001
кола,68.888955,33.0510945,17001
комсомольск-мурманский,69.0195341,33.0974158,18606
москва-пассажирская-казанская,55.7742475,37.659914,193909
чкаловская,59.9593342,30.2924203,235603
чкаловская,56.3105895,43.9372339,235603
чкаловская,55.7567019,37.6569978,235603
чкаловская,55.8974467,38.0624906,235603
чкаловская,56.8076989,60.6102992,235603
ладожская,59.9315249,30.4424153,525905
ладожская,45.3115908,39.9190836,525905
ладожская,45.3115229,39.9192964,525905
лобня,56.0135125,37.4848606,237908
дно,57.8238913,29.9613573,56701
приморск,60.3652892,28.6299344,20305
копылово,56.5796752,85.1275528,874603
куендат,57.1141515,86.1825175,875201
угольная,56.6240793,84.8213662,982102
угольная,58.0062774,61.6962332,982102
угольная,53.4283339,59.0503225,982102
угольная,43.3043429,132.0606277,982102
угольная,51.2236937,58.3711214,982102
асино,56.9964987,86.1576023,875108
сахалинка,57.2772723,86.1156661,875305
балагачево,57.4188939,86.0468368,875409
белый яр,58.4094663,85.0421767,875803
берикульская,56.1712647,87.2316616,876401
берикульская,56.1712152,87.2316648,876401
балашейка,53.2835245,48.0912272,643105
рачейка,53.3857824,48.0176207,643001
цильна,54.5929667,48.143943,645308
бурундуки,54.7734065,48.2297947,249502
рябина,52.9135968,48.3105665,635908
октябрьск,53.1613797,48.6682695,638107
правая волга,53.1836251,48.7852259,638200
подбельская,53.600111,51.8041872,659207
заинск,55.3127833,52.008892,648109
альметьевская,54.9195453,52.1389131,647905
асекеево,53.5843014,52.8738239,659601
арлюк,55.430683,84.8424004,870706
голутвин,55.0861808,38.8052754,233805
фруктовая,54.9161434,39.2586378,234403
студенец,53.1534556,44.277268,633404
симанщина,53.2760836,44.4701484,633508
башмаково,53.212358,43.0353258,632906
соседка,53.2315729,42.6622963,632806
плотниково,55.0214616,85.9383282,872307
ленинск-кузнецкий 2,54.6203643,86.2065817,872701
красный камень,54.0054563,86.5374854,863505
спиченково,53.7833092,86.8386868,863702
зеньково,53.8250381,86.7661947,864002
малиновка,53.4094922,87.2748928,865208
каз,53.1141443,87.5590273,865801
абагур-лесной,53.7258594,87.2521753,864300
копорье,59.7284402,29.0106587,74702
фили,55.7461266,37.5148273,181600
фили,55.7440571,37.5146757,181600
студенческая,55.7388247,37.5483914,644004
студенческая,54.9889669,82.9060793,644004
студенческая,54.2537699,48.2697101,644004
керамик,56.7505929,60.6087731,781004
сысерть,56.677217,60.5773922,781108
исеть,56.9790405,60.3693448,771500
касьяновка,53.0565173,103.1654564,931401
касьяновка,53.0564712,103.1653152,931401
перевоз,54.0414157,101.9582439,923000
перевоз,54.0415552,101.9582716,923000
тулюшка,54.4710053,101.1640646,922506
тулюшка,54.4710595,101.1640228,922506
борисова грива,60.0967989,30.9651315,36303
будагово,54.62993,100.132411,921700
будагово,54.6299569,100.1324521,921700
баляга,51.1524487,108.9371703,940307
сольцы,58.1305355,30.2598087,58001
сиваки,52.6307166,126.7502401,953006
нигозеро,62.2239211,34.3434056,10905
игумново,56.2525398,43.5804983,264803
бородинское,61.0190241,29.4158241,22300
каменногорск,60.9619743,29.1083892,21702
возрождение,60.8599791,28.9475256,21609
возрождение,60.8599791,28.9475256,624509
возрождение,52.7138905,48.1599877,21609
возрождение,52.7138905,48.1599877,624509
бронка,59.9286873,29.6525063,75308
большая ижора,59.9414481,29.5654501,75204
лебяжье,59.9551631,29.4154038,75007
чернореченская,56.2729287,91.0906384,890305
федулово,56.3745588,41.2277218,263047
федулово,56.3753816,41.2225144,263047
рыбацкое,59.8308399,30.5002908,30909
рыбацкое,59.8312736,30.5011562,30909
батунная,53.656998,84.8114188,841309
кемчуг,56.0946314,91.7081371,890502
кемчуг,56.0946241,91.7080413,890502
зеледеево,56.0748928,91.9816649,890606
зеледеево,56.0748422,91.9816311,890606
кача,56.1002902,92.2221552,890703
кача,56.1002481,92.2221861,890703
бугач,56.0424166,92.763066,890907
бугач,56.042411,92.7626921,890907
злобино,55.9984467,92.9516804,891806
енисей,55.9800045,92.8416014,891401
железнодорожная,55.7524589,38.0082811,230402
железнодорожная,48.5292733,44.4928546,230402
пролетарская,59.8662645,30.467311,518901
пролетарская,55.731857,37.6658787,518901
пролетарская,56.2664331,43.9133773,518901
пролетарская,46.6964785,41.7064995,518901
приморская,59.9487362,30.2379397,988109
усово,55.7294635,37.2129236,182105
звенигород,55.7002071,36.8794167,182406
голицыно,55.615175,36.9865326,182302
холщевики,55.9264868,36.7015538,197308
шаня,54.6962993,35.9719774,189000
азарово,54.5655513,36.2444807,188601
щурово,55.0647774,38.8507987,234102
плес,51.292404,47.7782873,627102
сандарово,55.257276,37.4504586,181206
перово,55.7511973,37.7864823,193805
перово,55.7358077,37.7644261,193805
разгон,55.7119007,98.3965271,920500
разгон,55.7118876,98.396468,920500
отвага,53.3520576,49.4803789,636608
стройка,55.7801231,37.8628079,230205
автово,59.8664791,30.2610038,35508
автово,59.8645527,30.2503408,35508
электроугли,55.7301237,38.2023378,230600
пажень,52.6013436,38.3710933,218307
ковров-грузовой,56.3045463,41.3848958,240902
бужаниново,56.3918671,38.3079348,236702
сергиев посад,56.3019991,38.1367658,236305
дорохово,55.5464311,36.3719528,183004
тосно,59.5445273,30.8819136,31302
турдей,53.3656419,38.0747591,225006
турдей,53.3656486,38.0745839,225006
аэропорт,55.8003966,37.5331501,180701
аэропорт,48.792871,44.3579347,180701
аэропорт,55.6099621,37.2660622,180701
яничкино,55.6534701,37.8596249,194507
икша,56.1718602,37.5092777,238103
мулянка,57.8077382,56.3780697,761706
баская,58.5755707,57.7582854,767609
калино,58.2541402,57.6115898,766108
бородино,55.4954504,35.8610891,175807
азиатская,58.3534399,59.5287879,772908
невинномысская,44.6308098,41.963666,531304
пушкино,56.0120839,37.8394137,235904
вязьма-новоторжская,55.2264239,34.3202533,174109
луховицы,54.9824491,39.0418425,234206
северодвинск,64.5735499,39.8508553,290206
гусино,54.7250828,31.3677752,171308
мельничный ручей,60.0189038,30.6794272,36106
износки,54.9883122,35.3095301,189509
красноярск-восточный,55.997624,93.1094098,890201
сумский посад,64.2475741,35.3909389,12703
сулозеро,63.7349415,36.9154948,295604
куша,63.724333,37.0515096,295708
нименга,63.7078666,37.6341039,295905
мудьюга,63.7766261,39.2535214,296408
большая кяма,63.604547,39.9781886,295106
сосновец,64.4311251,34.4691524,12309
кузема,65.3533689,34.2656932,13509
кузема,65.3533484,34.2656396,13509
кузема,65.3534239,34.2657725,13509
кузема,65.3533957,34.2657169,13509
амбарный,65.8976864,33.7096462,13706
лоухи,66.0753895,33.0591445,13801
чупа,66.2663501,32.9666766,14304
белое море,67.0810171,32.2662328,14802
пинозеро,67.3171879,32.4983375,15102
африканда,67.442676,32.7781556,15608
приамурская,48.523289,134.9024777,970209
гривно,55.3566852,37.5268085,190807
внуково,55.6488591,37.2695467,180608
саянтуй,51.6886053,107.4472536,935900
киров-котласский,58.6060914,49.6439695,270306
сокур,55.2110777,83.3241025,851809
сокур,55.2109736,83.3240193,851809
долгушино,58.6397802,49.732572,271309
геологическая,61.3087954,63.3289142,778406
геологическая,56.827831,60.6022393,778406
нягань,62.1355856,65.3865599,779201
верхнезейск,54.6196056,128.5404316,913206
еманжелинск,54.7830874,61.2445179,804600
потанино,55.1838524,61.6210916,801000
инская,54.9643598,83.1196256,850007
боровинка,60.9617562,29.2450409,22508
пашенный,56.441372,102.250902,925203
томмот,58.9675028,126.2266926,914209
бийск,52.5355498,85.1798166,843200
евсино,54.510851,83.3504729,852801
торжок,57.0422891,34.9804503,64106
флюсовая,55.0577191,60.0536659,805800
флюсовая,53.3184772,59.1364155,805800
костино,56.292672,37.781703,236409
лесогорский,61.0491388,28.9253313,22007
пруды,61.012865,29.034504,22103
академическая,55.6878077,37.5735148,62900
академическая,57.7180031,34.3429942,62900
академическая,60.0121125,30.3927366,62900
академическая,52.2550149,104.2645125,62900
академическая,52.2547738,104.2647618,62900
поназырево,58.3546756,46.3154845,307905
поназырево,58.3547518,46.3150563,307905
